object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
1040,698398,2020/05/27 03:59:59+00,PAUL MITCHELL SCHOOL OF BEAUTY,156 N HURSTBOURNE PKWY,40222.0,2020/05/28 03:59:59+00,7,FIELD
1041,698763,2020/06/02 03:59:59+00,DAIRY QUEEN,400 FAIRDALE RD,40118.0,2020/06/04 03:59:59+00,7,FIELD
1042,698967,2020/06/08 03:59:59+00,HOME DEPORT,6840 DIXIE HWY,40258.0,2020/06/17 03:59:59+00,7,FIELD
1043,699072,2020/06/10 03:59:59+00,RUBY DENTAL @ BRACES,3510 BARDSTOWN RD,40218.0,2020/06/11 03:59:59+00,7,FIELD
1044,699086,2020/06/10 03:59:59+00,OWL CREEK SUBDIVISION,10607 HOBBS STATION ROAD,40223.0,2020/06/19 03:59:59+00,7,FIELD
1045,699579,2020/06/18 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/06/30 03:59:59+00,7,FIELD
1046,700190,2020/06/29 03:59:59+00,GREAT CLIPS,3348 HIKES LN,40220.0,2020/07/13 03:59:59+00,7,FIELD
1047,700612,2020/07/06 03:59:59+00,BEEF O'BRADY'S,11324 PRESTON HWY,40229.0,2020/07/08 03:59:59+00,7,FIELD
1048,700645,2020/07/07 03:59:59+00,LOUISVILLE BOAT CLUB / MAIN KITCHEN,4200 RIVER RD,40207.0,2020/07/06 03:59:59+00,7,FIELD
1049,700781,2020/07/04 03:59:59+00,LAS MARIA'S,4801 OUTER LOOP FC6,40219.0,2020/07/04 03:59:59+00,7,FIELD
1050,701033,2020/07/11 03:59:59+00,SPEEDWAY #9783,4900 OUTER LOOP,40219.0,2020/07/31 03:59:59+00,7,FIELD
1051,701035,2020/07/11 03:59:59+00,WALMART #1170,10445 DIXIE HWY,40272.0,2020/07/15 03:59:59+00,7,FIELD
1052,701038,2020/07/11 03:59:59+00,FRANK'S MEAT & PRODUCE DELI,3342 PRESTON HWY,40213.0,2020/07/14 03:59:59+00,7,FIELD
1053,699783,2020/06/23 03:59:59+00,MEIJER #162,9905 DIXIE HWY,40272.0,2020/06/25 03:59:59+00,7,FIELD
1054,695723,2020/04/16 03:59:59+00,PEARL MEDICAL CENTER,2202 BUECHEL AVENUE,40218.0,2020/04/17 03:59:59+00,7,FIELD
1055,695891,2020/04/17 03:59:59+00,MCALISTER'S,4677 OUTER LOOP,40219.0,2020/04/20 03:59:59+00,7,FIELD
1056,701244,2020/07/14 03:59:59+00,CIRCLE K #4703311,2911 BARDSTOWN RD,40205.0,2020/08/26 03:59:59+00,7,FIELD
1057,698995,2020/06/08 03:59:59+00,SUBWAY,10500 DIXIE HWY,40272.0,2020/06/10 03:59:59+00,7,FIELD
1058,695927,2020/04/14 03:59:59+00,UNKNOWN,8902 SWAN HILL RD,40241.0,2020/04/17 03:59:59+00,7,FIELD
1059,701339,2020/07/15 03:59:59+00,KROGER L-327,2710 W BROADWAY,40211.0,2020/07/20 03:59:59+00,7,FIELD
1060,699014,2020/06/09 03:59:59+00,THE WOODS AT ST THOMAS,6701 FALLEN LEAF CIRCLE,40241.0,2020/06/16 03:59:59+00,7,FIELD
1061,695970,2020/04/17 03:59:59+00,SUPER BEAUTY,4420 DIXIE HIGHWAY,40216.0,2020/04/20 03:59:59+00,7,FIELD
1062,701346,2020/07/15 03:59:59+00,SPEEDWAY #9714,4340 CANE RUN RD,40216.0,2020/07/17 03:59:59+00,7,FIELD
1063,700297,2020/06/30 03:59:59+00,WALMART #5417,175 OUTER LOOP,40214.0,2020/07/01 03:59:59+00,7,FIELD
1064,696009,2020/04/20 03:59:59+00,CROSSROADS TREATMENT CENTER,1700 CARGO CT,40299.0,2020/04/20 03:59:59+00,7,FIELD
