indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2003-2006,4,12-19 years,0.3,18.2,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2005-2008,5,12-19 years,0.3,18.7,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2007-2010,6,12-19 years,0.3,19.4,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2009-2012,7,12-19 years,0.3,20.0,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2011-2014,8,12-19 years,0.3,20.1,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2013-2016,9,12-19 years,0.3,20.0,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.1,Male,2015-2018,10,12-19 years,0.3,21.3,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,1988-1994,1,12-19 years,0.3,9.7,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,1999-2002,2,12-19 years,0.3,15.3,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2001-2004,3,12-19 years,0.3,16.0,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2003-2006,4,12-19 years,0.3,16.8,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2005-2008,5,12-19 years,0.3,17.0,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2007-2010,6,12-19 years,0.3,16.9,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2009-2012,7,12-19 years,0.3,18.9,1.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2011-2014,8,12-19 years,0.3,21.0,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2013-2016,9,12-19 years,0.3,21.2,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex,1,1.2,Female,2015-2018,10,12-19 years,0.3,20.4,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Age,2,2.3,12-19 years,1988-1994,1,12-19 years,0.3,10.5,0.9,-
