crimeid_UK_CSV0000000000000587,monthvalue_UK_CSV0000000000000587,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000007347,monthvalue_UK_CSV0000000000007347
e566f1642b787e54fd5f8f2e83d10b78ceb87a51d3d149fa4d47fd87addcd009,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.152542,52.091327,On or near MAARNFORD CLOSE,E01018239,South Cambridgeshire 017B,Investigation complete; no suspect identified,,
6ab3b1ecf235fe960a703e44ea4be8ce5ae4852f76f5a62a84d074e34d396b7f,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.178644,52.327839,On or near B1044,E01018138,Huntingdonshire 012A,Investigation complete; no suspect identified,,
ae1d3be0f1a7e223e4987f11bf9233a0b0461121815ab1dbe2af8ce69fc080ee,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.279526,52.619913,On or near SWALLOWFIELD,E01015679,Peterborough 001D,Further action is not in the public interest,,
c5f9b3ceed73fec91c178891d34780f8b1e3579a8d9d97f4f293d42f9805e816,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241873,52.569299,On or near BRIDGE STREET,E01015599,Peterborough 014A,Unable to prosecute suspect,,
386459aafe239a71782496f6c9d2173480c63d7b128baaccbaa2d449ceb2ba75,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.110416,52.214128,On or near CASTLE STREET,E01017957,Cambridge 005C,Investigation complete; no suspect identified,,
fb9d9902e53e76ab9448cb91df192bfb891f88b9d8ce9f75a43cf6f9ce29f8e1,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.260197,52.586518,On or near Prison,E01015661,Peterborough 010D,Suspect charged,,
a997b63586a8323d0853a308606679ace39fa016981b7de02f0b237c7251c270,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243649,52.57508,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified,,
fff7f8295fd4434dd3f0c8ae45232d02daf651915581b9ece801bf2bdf0e1c76,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.084615,52.405323,On or near GARNER AVENUE,E01018210,Huntingdonshire 005C,Unable to prosecute suspect,,
3e34e47effe8bc6a8027ab84e427f960d60f88cd4c9b776e2b5b27486748d57e,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.289344,52.543103,On or near Parking Area,E01015642,Peterborough 021E,Unable to prosecute suspect,,
144475627450c8b9bb9d3ae900cf113288251c2458b4c63f03d0b938631f3199,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.13701,52.190855,On or near CLIFTON WAY,E01017966,Cambridge 010B,Unable to prosecute suspect,,
16c246ee9c38df723528625b5a8fefbb6e0e5cb7e95ceb75671e57d6d52648bb,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.13701,52.190855,On or near CLIFTON WAY,E01017966,Cambridge 010B,Unable to prosecute suspect,,
08a89f6e5af70b9a648dfd388dfc1f4bf19aa2d764f777cad33ac0e09faaacd0,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.057013,52.219908,On or near DE HAVILLAND CLOSE,E01033113,South Cambridgeshire 020A,Investigation complete; no suspect identified,,
6474eb926f9ca5497699f7980d2ef2f39dd708cf1045e85042daf67d81e99cb6,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.164232,52.677968,On or near HALEY CLOSE,E01018108,Fenland 002D,Investigation complete; no suspect identified,,
0ee8a86cff4ad342630e9d3de38f84d721f9752959d3633b8a1cf18070c0b577,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.057013,52.219908,On or near DE HAVILLAND CLOSE,E01033113,South Cambridgeshire 020A,Investigation complete; no suspect identified,,
460a1a7f5738629b6c5368c99e43728572a078678e77923f8e9060799d178bc1,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.057013,52.219908,On or near DE HAVILLAND CLOSE,E01033113,South Cambridgeshire 020A,Unable to prosecute suspect,,
