object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1849.0,708196.0,2020/11/04 05:00:00+00,TOWN AND COUNTRY FORD,6015 PRESTON HWY,40219.0,2020/11/06 05:00:00+00,7,FIELD
1850.0,697881.0,2020/05/18 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
1851.0,696458.0,2020/04/24 03:59:59+00,DAIRY QUEEN,11699 DIXIE HWY,40272.0,2020/04/30 03:59:59+00,7,FIELD
1852.0,702767.0,2020/08/01 03:59:59+00,MAYAN CAFE,813 E MARKET ST,40206.0,2020/08/01 03:59:59+00,7,FIELD
1853.0,696541.0,2020/04/23 03:59:59+00,RESIDENCE,2300 W BURNETT AVE,40210.0,2020/04/27 03:59:59+00,7,FIELD
1854.0,697963.0,2020/05/19 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
1855.0,708297.0,2020/11/04 05:00:00+00,MEIJER #166,9500 PRESTON HWY,40229.0,2020/11/06 05:00:00+00,7,FIELD
1856.0,702840.0,2020/08/02 03:59:59+00,GOOSE CREEK DINER,2923 GOOSE CREEK RD,40241.0,2020/08/04 03:59:59+00,7,FIELD
1857.0,696567.0,2020/04/27 03:59:59+00,BUD'S TAVERN,4014 DIXIE HWY,40216.0,2020/04/28 03:59:59+00,7,FIELD
1858.0,697990.0,2020/05/19 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
1859.0,701215.0,2020/07/14 03:59:59+00,BOONE'S MARATHON,521 N 22ND ST,40203.0,2020/07/17 03:59:59+00,7,FIELD
1860.0,708417.0,2020/11/05 05:00:00+00,SYRIAN GRILL,3325 BARDSTOWN RD STE 103,40218.0,2020/11/10 05:00:00+00,7,FIELD
1861.0,702882.0,2020/08/04 03:59:59+00,CHURCHILL DOWN,700 CENTRAL AVE,40208.0,2020/08/14 03:59:59+00,7,FIELD
1862.0,696592.0,2020/04/24 03:59:59+00,RESIDENCE,1108 HATHAWAY AVE,40215.0,2020/04/28 03:59:59+00,7,FIELD
1863.0,697991.0,2020/05/19 03:59:59+00,SUBWAY,7001 GLOBAL DR,40258.0,2020/05/20 03:59:59+00,7,FIELD
1864.0,701228.0,2020/07/14 03:59:59+00,DOLLAR GENERAL #17104,9267 SMYRNA PKWY,40229.0,2020/08/19 03:59:59+00,7,FIELD
1865.0,708581.0,2020/11/09 05:00:00+00,SPEEDWAY #9783,4900 OUTER LOOP,40219.0,2020/11/13 05:00:00+00,7,FIELD
1866.0,702904.0,2020/08/03 03:59:59+00,WHITE CASTLE #17,3705 BARDSTOWN RD,40218.0,2020/08/03 03:59:59+00,7,FIELD
1867.0,696938.0,2020/05/01 03:59:59+00,ACCDO RADIO,7700 TRADE PORT DRIVE,40258.0,2020/05/01 03:59:59+00,7,FIELD
1868.0,698016.0,2020/05/20 03:59:59+00,BECKLEY CREEK PARK,1411 BECKLEY CREEK PKWY,40245.0,2020/05/20 03:59:59+00,7,FIELD
1869.0,701320.0,2020/07/15 03:59:59+00,MOLLY MALONES,933 BAXTER AVE,40204.0,2020/07/03 03:59:59+00,7,FIELD
1870.0,708634.0,2020/11/11 05:00:00+00,LOWE'S HOME IMPROVEMENT,2100 BASHFORD MANOR LN,40218.0,2020/11/11 05:00:00+00,7,FIELD
1871.0,703145.0,2020/07/25 03:59:59+00,HIGHLANDS TAP ROOM GRILL,1058 BARDSTOWN RD,40204.0,2020/07/25 03:59:59+00,7,FIELD
1872.0,697494.0,2020/05/04 03:59:59+00,RESIDENCE,1031 QUEEN AVE UNIT 1,40215.0,2020/05/06 03:59:59+00,7,FIELD
1873.0,698070.0,2020/05/20 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
1874.0,701348.0,2020/07/15 03:59:59+00,PAPA JOHN'S #11,14041 SHELBYVILLE RD,40245.0,2020/07/16 03:59:59+00,7,FIELD
1875.0,708666.0,2020/11/11 05:00:00+00,LABOR EXPRESS PLUS LLC,220 S 18TH ST,40203.0,2020/11/18 05:00:00+00,7,FIELD
1876.0,703301.0,2020/08/07 03:59:59+00,MORTENSEN FAMILY DENTAL,10640 DIXIE HWY,40272.0,2020/09/17 03:59:59+00,7,FIELD
1877.0,697722.0,2020/05/14 03:59:59+00,KROGER L-366,5001 MUD LN,40229.0,2020/05/15 03:59:59+00,7,FIELD
1878.0,698284.0,2020/05/26 03:59:59+00,LOWES,2100 BASHFORD LN,40218.0,2020/05/27 03:59:59+00,7,FIELD
1879.0,701457.0,2020/07/15 03:59:59+00,MARMADUKE'S,4206 POPLAR LEVEL RD,40213.0,2020/07/20 03:59:59+00,7,FIELD
1880.0,708670.0,2020/11/11 05:00:00+00,CRACKER BARREL #650,11000 DIXIE HWY,40272.0,2020/11/16 05:00:00+00,7,FIELD
1881.0,697934.0,2020/05/18 03:59:59+00,WESTPORT ROAD FARMERS MARKET,9705 WESTPORT RD,40241.0,2020/05/23 03:59:59+00,7,FIELD
1882.0,698403.0,2020/05/27 03:59:59+00,GREAT CLIPS,4600 SHELBYVILLE RD,40207.0,2020/06/09 03:59:59+00,7,FIELD
1883.0,703327.0,2020/08/07 03:59:59+00,CORNER OF 24TH AND JEFFERSON STREET,2401 W JEFFERSON ST,40212.0,2020/08/09 03:59:59+00,7,FIELD
1884.0,701499.0,2020/07/16 03:59:59+00,WALMART #4524,5360 DIXIE HWY,40216.0,2020/07/20 03:59:59+00,7,FIELD
1885.0,708680.0,2020/11/11 05:00:00+00,CHONG GARDEN KY,10341 DIXIE HWY,40272.0,2020/11/16 05:00:00+00,7,FIELD
1886.0,697951.0,2020/05/19 03:59:59+00,EL MARLIN BAR & GRILL,1760 PLANTSIDE DR,40299.0,2020/05/19 03:59:59+00,7,FIELD
1887.0,698818.0,2020/06/03 03:59:59+00,YMCA,930 WEST CHESTNUT ST,40203.0,2020/06/08 03:59:59+00,7,FIELD
1888.0,703355.0,2020/08/07 03:59:59+00,THE BROWN CONDO'S,3320 BARDSTOWN RD UNIT 33,40218.0,2020/08/19 03:59:59+00,7,FIELD
1889.0,701501.0,2020/07/16 03:59:59+00,SUBWAY,5469 NEW CUT RD,40214.0,2020/07/22 03:59:59+00,7,FIELD
1890.0,708698.0,2020/11/11 05:00:00+00,PANERA BREAD #1891,4923 OUTER LOOP,40219.0,2020/11/13 05:00:00+00,7,FIELD
1891.0,697988.0,2020/05/19 03:59:59+00,BILL COLLINS FORD,4220 BARDSTOWN RD,40218.0,2020/05/20 03:59:59+00,7,FIELD
1892.0,698868.0,2020/06/02 03:59:59+00,JOE'S OLDER THAN DIRT,8131 NEW LAGRANGE RD,40222.0,2020/06/02 03:59:59+00,7,FIELD
