reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
710497,2020/11/27 05:00:00+00,THEATRE SQUARE MARKET PLACE,651 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,1004
711284,2020/12/04 05:00:00+00,DOC'S BOURBON ROOM,129 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,1005
710498,2020/11/27 05:00:00+00,BLUEGRASS BREWING COMPANY,654 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,1006
711285,2020/12/04 05:00:00+00,BEARNO'S BY THE BRIDGE,133 W MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,1007
710499,2020/11/27 05:00:00+00,JIMMY JOHN'S,332 W BROADWAY,40203.0,2020/11/27 05:00:00+00,4,SURVEY,1008
711287,2020/12/04 05:00:00+00,SIDEBAR,129 N 2ND ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,1009
710500,2020/11/27 05:00:00+00,THE GRANVILLE PUB,1601 S 3RD ST,40208.0,2020/11/27 05:00:00+00,4,SURVEY,1010
711288,2020/12/04 05:00:00+00,TROLL PUB UNDER THE BRIDGE,150 W WASHINGTON ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,1011
710531,2020/11/27 05:00:00+00,WING STOP,4659 OUTER LOOP,40219.0,2020/11/28 05:00:00+00,4,SURVEY,1012
711289,2020/12/04 05:00:00+00,HALL ON WASHINGTON ST,108 W WASHINGTON ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,1013
711133,2020/12/01 05:00:00+00,YMCA,1720 WEST BROADWAY,40202.0,2020/12/01 05:00:00+00,4,SURVEY,1014
710544,2020/11/30 05:00:00+00,WHIZ KIDZ ACADEMY,10634 WATTERSON TRAIL,40299.0,2020/11/30 05:00:00+00,4,SURVEY,1015
711290,2020/12/04 05:00:00+00,HELL OR HIGH WATER,112 W WASHINGTON ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,1016
711134,2020/12/01 05:00:00+00,INDI'S RESTAURANT,1033 W BROADWAY,40203.0,2020/12/01 05:00:00+00,4,SURVEY,1017
710545,2020/11/30 05:00:00+00,ANGEL HOUSE CHILD DEVELOPMENT CENTER,10407 TAYLORSVILLE RD,40299.0,2020/11/30 05:00:00+00,4,SURVEY,1018
711291,2020/12/04 05:00:00+00,STEVIE RAY'S BLUES CLUB,230 E MAIN ST,40202.0,2020/12/04 05:00:00+00,4,SURVEY,1019
