isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
Verizon,1004.28,211.99,0.01%,36.73,9.34,37.24,3.45%,15.92,West Midlands,0.00%,9.26,FTTC,0.00%,814201.0,36.45,7.35,0.00%
Sky,1070.11,384.75,0.01%,35.31,9.22,35.34,2.12%,15.15,South East,0.00%,9.12,FTTC,0.00%,814053.0,35.2,28.53,0.00%
Verizon,594.07,92.33,0.01%,94.07,48.03,94.11,3.48%,8.19,Wales,0.00%,47.48,FTTP,0.00%,168232.0,94.02,14.91,0.00%
Sky,991.25,108.85,0.00%,62.0,18.45,61.89,3.60%,8.39,East Midlands,0.00%,17.67,FTTC,0.00%,42148.0,61.6,24.92,0.00%
Comcast,638.49,263.77,0.03%,89.38,36.65,90.95,3.30%,17.06,South East,0.00%,35.36,Cable,0.00%,776232.0,85.79,12.03,0.00%
Sky,520.98,148.8,0.00%,30.15,18.08,30.36,3.25%,8.65,South West,0.00%,17.48,FTTC,0.00%,940620.0,29.8,15.93,0.00%
Comcast,962.76,151.82,0.02%,56.91,18.55,58.94,5.79%,11.35,North West,0.00%,18.38,FTTC,0.00%,821263.0,56.87,11.46,1.66%
Comcast,650.67,315.37,0.01%,273.9,36.93,286.28,3.19%,23.41,Scotland,0.00%,34.43,Cable,0.00%,659070.0,209.66,14.92,0.00%
Comcast,665.27,164.65,0.01%,217.94,20.83,219.08,3.38%,15.13,North West,0.00%,20.54,Cable,0.00%,813783.0,215.32,11.69,0.00%
Sky,1002.86,265.8,0.01%,70.21,18.46,70.77,3.74%,8.83,East,0.00%,18.32,FTTC,0.14%,816781.0,69.63,16.44,0.00%
Verizon,567.85,98.61,0.01%,70.57,18.71,72.28,3.56%,8.25,West Midlands,0.00%,18.33,FTTC,0.00%,814445.0,68.79,7.16,0.00%
Comcast,477.36,175.67,0.00%,111.51,10.01,111.37,3.78%,15.63,South East,0.00%,9.93,Cable,0.00%,975440.0,111.38,9.53,0.00%
Virgin,963.63,240.14,0.07%,36.79,9.42,37.23,3.54%,11.71,North West,0.00%,9.32,FTTC,0.00%,34091.0,35.96,5.75,0.00%
Verizon,670.77,229.1,0.01%,70.35,18.59,69.08,4.49%,7.02,South East,0.00%,17.78,FTTC,0.00%,148468.0,70.25,8.48,0.00%
Verizon,1112.34,150.55,0.09%,43.85,7.64,45.65,3.69%,7.54,South East,0.00%,7.29,FTTC,0.00%,28486.0,43.52,6.67,0.00%
Sky,1136.26,393.66,0.07%,31.3,9.27,32.49,3.59%,16.96,East,0.00%,7.74,FTTC,0.14%,34005.0,29.48,17.63,0.00%
