indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10,2-5 years,0.1,15.6,3.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1988-1994,1,2-5 years,0.1,9.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1999-2002,2,2-5 years,0.1,10.9,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2001-2004,3,2-5 years,0.1,14.4,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2003-2006,4,2-5 years,0.1,14.3,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2005-2008,5,2-5 years,0.1,12.3,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2007-2010,6,2-5 years,0.1,13.2,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2009-2012,7,2-5 years,0.1,12.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2011-2014,8,2-5 years,0.1,11.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2013-2016,9,2-5 years,0.1,13.5,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2015-2018,10,2-5 years,0.1,15.5,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1988-1994,1,2-5 years,0.1,7.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1999-2002,2,2-5 years,0.1,13.8,2.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2001-2004,3,2-5 years,0.1,13.3,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2003-2006,4,2-5 years,0.1,12.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2005-2008,5,2-5 years,0.1,10.0,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2007-2010,6,2-5 years,0.1,11.8,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2009-2012,7,2-5 years,0.1,11.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2011-2014,8,2-5 years,0.1,10.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2013-2016,9,2-5 years,0.1,12.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2015-2018,10,2-5 years,0.1,16.8,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,1988-1994,1,2-5 years,0.1,5.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,1999-2002,2,2-5 years,0.1,7.6,1.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2001-2004,3,2-5 years,0.1,13.6,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2003-2006,4,2-5 years,0.1,11.9,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2005-2008,5,2-5 years,0.1,11.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2007-2010,6,2-5 years,0.1,13.9,2.0,-
