object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2901,702807,2020/08/03 03:59:59+00,CITI-TRENDS,2809 BROADWAY,40211.0,2020/09/21 03:59:59+00,7,FIELD
2902,702901,2020/08/03 03:59:59+00,O'SHEA'S,956 BAXTER AVE,40205.0,2020/08/15 03:59:59+00,7,FIELD
2903,702922,2020/08/04 03:59:59+00,CULVER'S,11801 INTERCHANGE DR,40229.0,2020/08/05 03:59:59+00,7,FIELD
2904,703218,2020/08/06 03:59:59+00,FORD ASSEMBLY PLANT,2000 FERN VALLEY RD,40213.0,2020/08/27 03:59:59+00,7,FIELD
2905,703277,2020/08/06 03:59:59+00,MOMMA'S MUSTARD PICKLES & BBQ,119 S HURSTBOURNE PKWY,40222.0,2020/08/10 03:59:59+00,7,FIELD
2906,703405,2020/08/10 03:59:59+00,HAIR DIMENSIONS,6801 DIXIE HWY,40258.0,2020/09/17 03:59:59+00,7,FIELD
2907,703470,2020/08/10 03:59:59+00,THE CHARITY HALL BINGO,5001 STEPHAN DR,40258.0,2020/08/12 03:59:59+00,7,FIELD
2908,703485,2020/08/08 03:59:59+00,CAPTAIN D'S #3329,3937 DIXIE HWY,40217.0,2020/08/18 03:59:59+00,7,FIELD
2909,703507,2020/08/10 03:59:59+00,MCDONALD'S #4620,1212 W BROADWAY,40203.0,2020/08/11 03:59:59+00,7,FIELD
2910,703570,2020/08/12 03:59:59+00,SPEEDWAY #9705,8325 PRESTON HWY,40219.0,2020/08/27 03:59:59+00,7,FIELD
2911,703680,2020/08/13 03:59:59+00,TEXAS ROADHOUSE,13321 SHELBYVILLE RD,40223.0,2020/08/13 03:59:59+00,7,FIELD
2912,703711,2020/08/13 03:59:59+00,CHEDDAR'S SCRATCH KITCHEN,10403 WESTPORT RD,40241.0,2020/08/17 03:59:59+00,7,FIELD
2913,703828,2020/08/15 03:59:59+00,I LOVE TACOS,9909 TAYORSVILLE RD,40299.0,2020/08/15 03:59:59+00,7,FIELD
2914,703993,2020/08/20 03:59:59+00,EBD WAREHOUSE,7715 NATIONAL TRNPK UNIT 100,40214.0,2020/09/17 03:59:59+00,7,FIELD
2915,704263,2020/08/26 03:59:59+00,WESTENHOFER HARDWARE,2402 S PRESTON ST 40217,40217.0,2020/09/08 03:59:59+00,7,FIELD
2916,704427,2020/08/28 03:59:59+00,HI ECOFRESH CLEANING,10533A TIMBERWOOD CIR,40223.0,2020/09/18 03:59:59+00,7,FIELD
2917,704442,2020/08/31 03:59:59+00,FLAGET COMMUNITY CENTER,4425 GREENWOOD AVE,40211.0,2020/09/03 03:59:59+00,7,FIELD
2918,704532,2020/08/29 03:59:59+00,CVS #6209,4249 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,FIELD
2919,704587,2020/08/31 03:59:59+00,HIDEOUT PIZZARIA,5620 BARRET LN,40272.0,2020/09/01 03:59:59+00,7,FIELD
2920,704691,2020/09/02 03:59:59+00,COSTCO,3408 BARDSTOWN RD,40218.0,2020/09/09 03:59:59+00,7,FIELD
2921,704842,2020/09/04 03:59:59+00,SOUTHEAST CHRISTIAN,920 BLANKENBAKER PKY,40243.0,2020/09/25 03:59:59+00,7,FIELD
2922,704846,2020/09/04 03:59:59+00,MIDDLETOWN ELEMENTARY,218 N MADISON AVE,40243.0,2020/09/11 03:59:59+00,7,FIELD
2923,704982,2020/09/09 03:59:59+00,SE CHRISTIAN CHURCH,920 BLANKENBAKER PKWY,40243.0,2020/09/25 03:59:59+00,7,FIELD
2924,706045,2020/09/29 03:59:59+00,CRACKER BARREL #153,1401 KENTUCKY MILLS DR,40299.0,2020/10/08 03:59:59+00,7,FIELD
2925,706242,2020/10/02 03:59:59+00,AIRBNB,832 FRANKLIN ST,40206.0,2020/10/03 03:59:59+00,7,FIELD
2926,706263,2020/10/02 03:59:59+00,SPEEDWAY #9636,12201 DIXIE HWY,40272.0,2020/10/02 03:59:59+00,7,FIELD
2927,706413,2020/10/05 03:59:59+00,WESTPORT MACHINERY,12740 WESTPORT RD,40245.0,2020/10/08 03:59:59+00,7,FIELD
2928,706561,2020/10/07 03:59:59+00,SPEEDWAY #9705,8325 PRESTON HWY,40219.0,2020/10/08 03:59:59+00,7,FIELD
2929,706663,2020/10/09 03:59:59+00,MAGIC TOUCH SALON,9313 LAGRANGE RD,40242.0,2020/10/17 03:59:59+00,7,FIELD
2930,706708,2020/10/12 03:59:59+00,ALL ABOUT KIDS,2531 BLANKENBAKER PKWY,40299.0,2020/10/09 03:59:59+00,7,FIELD
2931,707016,2020/10/15 03:59:59+00,ANIMAL HOUSE,3516 NEWBURG RD,40218.0,2020/10/16 03:59:59+00,7,FIELD
2932,707493,2020/10/23 03:59:59+00,WALMART #5418,2020 BASHFORD MANOR LN,40218.0,2020/10/24 03:59:59+00,7,FIELD
2933,708116,2020/11/02 05:00:00+00,TEXAS ROADHOUSE,3322 OUTER LOOP,40219.0,2020/11/03 05:00:00+00,7,FIELD
2934,708216,2020/11/04 05:00:00+00,DOLLAR GENERAL #2180,7427 3RD STREET RD,40214.0,2020/11/06 05:00:00+00,7,FIELD
2935,708289,2020/11/05 05:00:00+00,RECREONICS INC,4200 SCHMITT AVE,40213.0,2020/11/10 05:00:00+00,7,FIELD
2936,708427,2020/11/05 05:00:00+00,IROQUOIS VFW POST #6182,992 LONGFIELD AVE,40215.0,2020/11/11 05:00:00+00,7,FIELD
2937,708537,2020/11/09 05:00:00+00,O'REILLY AUTO PARTS,3700 DIXIE HWY,40216.0,2020/11/11 05:00:00+00,7,FIELD
2938,708544,2020/11/09 05:00:00+00,PLANET FITNESS,3036 BARDSTOWN RD,40205.0,2020/11/16 05:00:00+00,7,FIELD
2939,708659,2020/11/11 05:00:00+00,CRACKER BARREL #650,11000 DIXIE HWY,40272.0,2020/11/16 05:00:00+00,7,FIELD
2940,708735,2020/11/12 05:00:00+00,O'CHARLEY'S,1901 S HURSTBOURNE PKWY,40220.0,2020/11/12 05:00:00+00,7,FIELD
2941,708873,2020/11/12 05:00:00+00,MCALISTER'S,4677 OUTER LOOP,40219.0,2020/11/12 05:00:00+00,7,FIELD
2942,708888,2020/11/16 05:00:00+00,MACY'S AT OXMOOR,7900 SHELBYVILLE RD,40222.0,2020/11/16 05:00:00+00,7,FIELD
2943,708896,2020/11/09 05:00:00+00,KOHL'S IN OXMOOR,110 OXMOOR LN,40222.0,2020/11/16 05:00:00+00,7,FIELD
2944,708930,2020/11/13 05:00:00+00,OXMOOR LODGE COMMUNITY,8021 CHRISTIAN CT,40222.0,2020/11/20 05:00:00+00,7,FIELD
2945,701920,2020/07/20 03:59:59+00,MCALISTER'S #1135,2400 LIME KILN LN,40222.0,2020/07/21 03:59:59+00,7,FIELD
2946,701988,2020/07/22 03:59:59+00,SPEEDWAY #9514,2965 BRECKENRIDGE LN,40220.0,2020/07/23 03:59:59+00,7,FIELD
2947,702133,2020/07/23 03:59:59+00,TEXAS ROADHOUSE,5005 SHELBYVILLE RD,40207.0,2020/07/28 03:59:59+00,7,FIELD
2948,702145,2020/07/24 03:59:59+00,MELLWOOD ARTS CENTER,1860 MELLWOOD AVE,40206.0,2020/07/28 03:59:59+00,7,FIELD
2949,708673,2020/11/11 05:00:00+00,GLA COLLECTIONS,2630 GLEESON LN,40299.0,2020/11/25 05:00:00+00,7,FIELD
2950,710345,2020/11/24 05:00:00+00,DAIRY QUEEN,5516 NATIONAL TURNPIKE,40214.0,2020/12/02 05:00:00+00,7,FIELD
