reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
712318,2020/11/25 05:00:00+00,HANNA ANKLE AND FOOT CARE,3901 DUTCHMANS LN STE 104,40202.0,2020/11/25 05:00:00+00,4,SURVEY,603
712319,2020/11/25 05:00:00+00,GOULD'S MEDICAL CENTER,3901 DUTCHMANS LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,604
712320,2020/11/25 05:00:00+00,PEP BOYS,1001 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,605
712321,2020/11/25 05:00:00+00,MARATHON GRAB AND GO,1001 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,606
712322,2020/11/25 05:00:00+00,SALON SERVICE GROUP,6403 DUTCHMANS LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,607
712323,2020/11/25 05:00:00+00,LUCKY NAILS,6407 NEW DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,608
712324,2020/11/25 05:00:00+00,FAMILY SELECT INSURANCE,6409 NEW DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,609
712325,2020/11/25 05:00:00+00,GREAT CLIPS,6411 DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,610
712326,2020/11/25 05:00:00+00,"BED, BATH AND BEYOND",996 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,611
712328,2020/11/25 05:00:00+00,SHAHEEN'S CLOTHING,994 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,612
712329,2020/11/25 05:00:00+00,BOOKS A MILLION,994 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,613
712330,2020/11/25 05:00:00+00,HOBBY LOBBY,968 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,614
712332,2020/11/25 05:00:00+00,HOME DEPOT,964 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,615
712333,2020/11/25 05:00:00+00,A TASTE OF KENTUCKY,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,616
712336,2020/11/25 05:00:00+00,GUITAR CENTER,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,617
712338,2020/11/25 05:00:00+00,NIKE FACTORY OUTLET,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,618
712341,2020/11/25 05:00:00+00,NORDSTROM RACK,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,619
712342,2020/11/25 05:00:00+00,JOANN FABRICS,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,620
710415,2020/11/26 05:00:00+00,WALGREENS #4309,9702 WESTPORT RD,40241.0,2020/11/26 05:00:00+00,4,SURVEY,621
710446,2020/11/26 05:00:00+00,KROGER L-186,2219 HOLIDAY MANOR CENTER,40222.0,2020/11/26 05:00:00+00,4,SURVEY,622
710447,2020/11/26 05:00:00+00,DOLLAR GENERAL #12410,3943 TAYLORSVILLE RD,40220.0,2020/11/26 05:00:00+00,4,SURVEY,623
710449,2020/11/26 05:00:00+00,WHOLE FOODS MARKET,4944 SHELBYVILLE RD,40207.0,2020/11/26 05:00:00+00,4,SURVEY,624
710451,2020/11/26 05:00:00+00,TOTAL WINE & MORE,5067 SHELBYVILLE RD,40207.0,2020/11/26 05:00:00+00,4,SURVEY,625
710454,2020/11/26 05:00:00+00,CABELA'S,5100 NORTON HEALTHCARE BLVD,40241.0,2020/11/26 05:00:00+00,4,SURVEY,626
710456,2020/11/26 05:00:00+00,CVS #6205,10490 SHELBYVILLE RD,40223.0,2020/11/26 05:00:00+00,4,SURVEY,627
710457,2020/11/26 05:00:00+00,HILLTOP TAVERN,1800 FRANKFORT AVE,40204.0,2020/11/26 05:00:00+00,4,SURVEY,628
710466,2020/11/26 05:00:00+00,WALGREENS #10151,3700 FRANKFORT AVE,40206.0,2020/11/26 05:00:00+00,4,SURVEY,629
710736,2020/11/26 05:00:00+00,HIGHLAND TAP ROOM,1056 BARDSTOWN RD,40202.0,2020/11/26 05:00:00+00,4,SURVEY,630
710737,2020/11/26 05:00:00+00,BACK DOOR,1250 BARDSTOWN RD,40204.0,2020/11/26 05:00:00+00,4,SURVEY,631
710738,2020/11/26 05:00:00+00,NOWHERE BAR LOUISVILLE,1133 BARDSTOWN RD,40204.0,2020/11/26 05:00:00+00,4,SURVEY,632
710450,2020/11/27 05:00:00+00,JIMMY JOHN'S,341 W CARDINAL BLVD,40208.0,2020/11/27 05:00:00+00,4,SURVEY,633
710452,2020/11/27 05:00:00+00,COMFY COW,339 W CARDINAL BLVD,40208.0,2020/11/27 05:00:00+00,4,SURVEY,634
710453,2020/11/27 05:00:00+00,QUILLS COFFEE SHOP,327 WEST CARDINAL BLVD,40202.0,2020/11/27 05:00:00+00,4,SURVEY,635
710455,2020/11/27 05:00:00+00,SIDE BAR,129 NORTH 2ND ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,636
710458,2020/11/27 05:00:00+00,ZOMBIE TACO MOXY BAR,101 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,637
710461,2020/11/27 05:00:00+00,MERLE'S WHISKEY KITCHEN,122 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,638
710462,2020/11/27 05:00:00+00,DOC CROW'S SOUTHERN SMOKEHOUSE,127 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,639
710464,2020/11/27 05:00:00+00,BEARNO'S BY THE BRIDGE,133 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,640
710465,2020/11/27 05:00:00+00,OLD FOSTER BAR,119 WEST MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,641
710468,2020/11/27 05:00:00+00,JEFF RUBY'S LOUISVILLE,325 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,642
710472,2020/11/27 05:00:00+00,MORTON'S STEAKHOUSE,626 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,643
710475,2020/11/27 05:00:00+00,PORCH KITCHEN AND BAR,280 WEST JEFFERSON ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,644
710481,2020/11/27 05:00:00+00,OMNI BOB'S STEAK & CHOP HOUSE,400 S 2ND ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,645
710483,2020/11/27 05:00:00+00,OMNI SPEAKEASY BAR,400 S 2ND ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,646
710485,2020/11/27 05:00:00+00,TAVERN ON FOURTH,427 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,647
710487,2020/11/27 05:00:00+00,TGI FRIDAYS,415 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,648
710490,2020/11/27 05:00:00+00,GUY FIEIR'S SMOKEHOUSE,411 S. 4TH STREET,40202.0,2020/11/27 05:00:00+00,4,SURVEY,649
710492,2020/11/27 05:00:00+00,HARD ROCK CAFE,424 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,650
710495,2020/11/27 05:00:00+00,PIZZA BAR,427 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,651
709874,2020/11/20 05:00:00+00,BY-PASS LIQUOR,3632 S 7TH ST,40216.0,2020/11/20 05:00:00+00,4,SURVEY,652
709876,2020/11/20 05:00:00+00,BODY LANGUAGE,3212 S 7TH ST,40216.0,2020/11/20 05:00:00+00,4,SURVEY,653
709884,2020/11/20 05:00:00+00,ROOSTERS,5338 BARDSTOWN RD,40291.0,2020/11/20 05:00:00+00,4,SURVEY,654
709887,2020/11/20 05:00:00+00,BEARNO'S,6101 BARDSTOWN RD,40291.0,2020/11/20 05:00:00+00,4,SURVEY,655
709944,2020/11/20 05:00:00+00,EMMY SQUARED PIZZA,825 E MARKET ST,40206.0,2020/11/20 05:00:00+00,4,SURVEY,656
709959,2020/11/20 05:00:00+00,WEST SIXTH NULU,817 E MARKET ST SUITE 101,40206.0,2020/11/20 05:00:00+00,4,SURVEY,657
709991,2020/11/20 05:00:00+00,MOE'S,1029 S 26TH ST,40210.0,2020/11/20 05:00:00+00,4,SURVEY,658
710138,2020/11/20 05:00:00+00,MERCATO ITALIANO,10640 MEETING ST,40059.0,2020/11/20 05:00:00+00,4,SURVEY,659
710699,2020/11/20 05:00:00+00,DOLLAR TREE,4121 SHELBYVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SURVEY,660
710702,2020/11/20 05:00:00+00,CASH AMERICA PAWN,4133 SHELBYVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SURVEY,661
710704,2020/11/20 05:00:00+00,SEE SPOT GROOMING,4204 SHELBYVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SURVEY,662
710707,2020/11/20 05:00:00+00,GOODWILL,4425 SHELBYVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SURVEY,663
716776,2020/11/20 05:00:00+00,502 VINYL,4508 SHEPHERDSVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SURVEY,664
