object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1892.0,712404.0,2020/12/14 05:00:00+00,O'CHARLEY'S,10641 FISCHER PARK DR,40222.0,2020/12/14 05:00:00+00,4,SURVEY
1893.0,712899.0,2020/12/17 05:00:00+00,GARDEN GATE FRUIT MARKET,4411 BRECKENRIDGE LN,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1894.0,712900.0,2020/12/17 05:00:00+00,MORE SHENANIGAN'S IRISH,4521 BARDSTOWN RD,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1895.0,712901.0,2020/12/17 05:00:00+00,FIESTA MEXICANA #3,4507 BARDSTOWN RD,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1896.0,712902.0,2020/12/17 05:00:00+00,THORNTONS #54,4154 BARDSTOWN RD,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1897.0,712903.0,2020/12/17 05:00:00+00,DINO'S BAKERY,4162 BARDSTOWN RD,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1898.0,712904.0,2020/12/17 05:00:00+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/12/17 05:00:00+00,4,SURVEY
1899.0,712904.0,202012/17 05:00:00+00,BILILARDS CLUB OF LOUISVILLE,5404 BARDSTOiWN RD,40304.0,2020/12/17 05:00:00+00,4,SURVEY
1900.0,712905.0,2020/12/17 05:00:00+00,ROOSTERS,5338 BARDSTOWN RD,40291.0,2020/12/17 05:00:00+00,4,SURVEY
1901.0,712906.0,2020/12/17 05:00:00+00,HUNGRY PELICAN,5412 BARDSTOWN RD,40291.0,2020/12/17 05:00:00+00,4,SURVEY
1902.0,712907.0,2020/12/17 05:00:00+00,SPEEDWAY #9685,5510 BARDSTOWN RD,40291.0,2020/12/17 05:00:00+00,4,SURVEY
1903.0,712921.0,2020/12/17 05:00:00+00,CIRCLE K #4703228,5203 GREENWOOD RD,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1904.0,712922.0,2020/12/17 05:00:00+00,SPEEDWAY #9511,7430 TERRY RD,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1905.0,712923.0,2020/12/17 05:00:00+00,WALGREENS #17810,7500 TERRY RD,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1906.0,712925.0,2020/12/17 05:00:00+00,FAMILY DOLLAR #28914,6312 GREENWOOD RD,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1907.0,712926.0,2020/12/17 05:00:00+00,WENDYS,2800 PACKERLAND WAY,40213.0,2020/12/17 05:00:00+00,4,SURVEY
1908.0,712927.0,2020/12/17 05:00:00+00,SUBWAY #34164,2840 PACKERLAND WAY,40213.0,2020/12/17 05:00:00+00,4,SURVEY
1909.0,712928.0,2020/12/17 05:00:00+00,EL NOPAL,6521 PARAMOUNT PARK DR,40213.0,2020/12/17 05:00:00+00,4,SURVEY
1910.0,712932.0,2020/12/17 05:00:00+00,FIRE OVEN PIZZA,2801 PACKERLAND WAY,40213.0,2020/12/17 05:00:00+00,4,SURVEY
1911.0,712936.0,2020/12/17 05:00:00+00,INDI'S RESTAURANT,4901 POPLAR LEVEL RD,40219.0,2020/12/17 05:00:00+00,4,SURVEY
1912.0,712942.0,2020/12/17 05:00:00+00,FAMILY DOLLAR #21434,431 W OAK ST,40203.0,2020/12/17 05:00:00+00,4,SURVEY
1913.0,712944.0,2020/12/17 05:00:00+00,WHITE CASTLE #19,7400 DIXIE HWY,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1914.0,712945.0,2020/12/17 05:00:00+00,WALGREENS #9412,5100 DIXIE HWY,40216.0,2020/12/17 05:00:00+00,4,SURVEY
1915.0,712946.0,2020/12/17 05:00:00+00,DOLLAR GENERAL #12215,2701 S 4TH ST,40208.0,2020/12/17 05:00:00+00,4,SURVEY
1916.0,712948.0,2020/12/17 05:00:00+00,BIG LOTS,6650 DIXIE HWY,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1917.0,712949.0,2020/12/17 05:00:00+00,GORDON FOOD SERVICE STORE,7483 DIXIE HWY,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1918.0,712950.0,2020/12/17 05:00:00+00,DOLLAR GENERAL #12576,7850 DIXIE HWY,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1919.0,712952.0,2020/12/17 05:00:00+00,THORNTONS #56,8400 DIXIE HWY,40258.0,2020/12/17 05:00:00+00,4,SURVEY
1920.0,712953.0,2020/12/17 05:00:00+00,FAMILY DOLLAR #20928,3277 TAYLOR BLVD,40215.0,2020/12/10 05:00:00+00,4,SURVEY
1921.0,712955.0,2020/12/17 05:00:00+00,CIRCLE K #4703304,5414 VALLEY STATION RD,40272.0,2020/12/17 05:00:00+00,4,SURVEY
1922.0,712974.0,2020/12/17 05:00:00+00,MENARDS,9625 PRESTON CROSSING BLVD,40229.0,2020/12/17 05:00:00+00,4,SURVEY
1923.0,712975.0,2020/12/17 05:00:00+00,PANCHITOS ICE CREAM & TAQUERIA,8118 PRESTON HWY STE 100,40219.0,2020/12/17 05:00:00+00,4,SURVEY
1924.0,713005.0,2020/12/17 05:00:00+00,VERA BRADLEY,5000 SHELBYVILLE RD.,40207.0,2020/12/17 05:00:00+00,4,SURVEY
1925.0,713006.0,2020/12/17 05:00:00+00,CHILDREN'S PLACE,5000 SHELBYVILLE RD.,40207.0,2020/12/17 05:00:00+00,4,SURVEY
1926.0,713007.0,2020/12/17 05:00:00+00,VICTORIA'S SECRET,5000 SHELBYVILLE RD.,40207.0,2020/12/17 05:00:00+00,4,SURVEY
1927.0,713009.0,2020/12/17 05:00:00+00,PRIMAX WINDOWS DOORS AND MORE,5000 SHELBYVILLE RD,40207.0,2020/12/17 05:00:00+00,4,SURVEY
1928.0,713014.0,2020/12/17 05:00:00+00,H & R BLOCK,2213 HIKES LANE,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1929.0,713018.0,2020/12/17 05:00:00+00,ST. VINCENT DEPAUL THRIFT STORE,2217 HIKES LANE,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1930.0,713021.0,2020/12/17 05:00:00+00,DOLLAR TREE,2221 HIKES LANE,40218.0,2020/12/17 05:00:00+00,4,SURVEY
1931.0,713022.0,2020/12/17 05:00:00+00,LITTLE CAESARS,10274 SHELBYVILLE RD,40222.0,2020/12/17 05:00:00+00,4,SURVEY
1932.0,713023.0,2020/12/17 05:00:00+00,BASKIN ROBBINS,10264 SHELBYVILLE RD,40222.0,2020/12/17 05:00:00+00,4,SURVEY
