reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
712829.0,2020/12/16 05:00:00+00,SUBWAY,2300 TERRA CROSSING BLVD,40245.0,2020/12/16 05:00:00+00,4,SURVEY,1638.0
712831.0,2020/12/16 05:00:00+00,DICK'S SPORTING GOODS,3500 S HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1639.0
712230.0,2020/12/12 05:00:00+00,BRICKHOUSE TAVERN & TAP,871 S HURSTBOURNE PKWY,40222.0,2020/12/12 05:00:00+00,4,SURVEY,1640.0
712832.0,2020/12/16 05:00:00+00,ANYTIME FITNESS,2300 TERRA CROSSING BLVD,40245.0,2020/12/16 05:00:00+00,4,SURVEY,1641.0
712833.0,2020/12/16 05:00:00+00,GALLOP SALON,2300 TERRA CROSSING BLVD,40245.0,2020/12/16 05:00:00+00,4,SURVEY,1642.0
712834.0,2020/12/16 05:00:00+00,ZAXBY'S,13811 TERRA VIEW TRAIL,40245.0,2020/12/16 05:00:00+00,4,SURVEY,1643.0
712835.0,2020/12/16 05:00:00+00,JW CAFE & BAKERY,2301 TERRA CROSSING BLVD,40245.0,2020/12/16 05:00:00+00,4,SURVEY,1644.0
712836.0,2020/12/16 05:00:00+00,WALMART #4450,12981 SHELBYVILLE RD,40223.0,2020/12/16 05:00:00+00,4,SURVEY,1645.0
712837.0,2020/12/16 05:00:00+00,PLANET FITNESS,3560 S. HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1646.0
712838.0,2020/12/16 05:00:00+00,SUBWAY #42506,12981 SHELBYVILLE RD,40243.0,2020/12/16 05:00:00+00,4,SURVEY,1647.0
712839.0,2020/12/16 05:00:00+00,SALLY BEAUTY,3578 S. HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1648.0
712841.0,2020/12/16 05:00:00+00,PET SMART,3580 S. HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1649.0
712842.0,2020/12/16 05:00:00+00,RACK ROOM SHOES,3590 S. HURSTBOURNE PARKWAY,40299.0,2020/12/16 05:00:00+00,4,SURVEY,1650.0
