crimeid,monthvalue,reportedby,outcometype,latitude,fallswithin,locationvalue
23bb89d6203dd6379f4fcb14294ba0c93106ca01834509d00e2dbd83493c0978,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
54ad6110d841bccdaf6641151a8c89953f9e0b9a7d8c82736997def1d96dba58,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
8c6f26853c08c0d89533a0f17bac8226789ecd1c561ef2f3debd5df49a82674a,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
88d43e079ff58d26f88dfc1c9634cc9c0bf93e3e4b63560bd31f81dfd2633927,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
26b7529bd2cb4b706f0f815e4766f7b3d11ae6ee0c9fbf57d855b863f696c248,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
c82ffe622d0b6e2d49dfec72affce0cd360dae33884e2f9d4b5e4529128f6fd5,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
157c96eb15ac9efaf7b26711b6e5a5a0f4b4fb450cd6c264d870b6ea6929934c,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
2f218e71b9c639a8f35e00cc4839a824cc95265b9e390f7f79d251f96983de88,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
005e85cdc55347f7b55494a805c021d6e5401c02c22d1576396b83695048e86f,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a6fffce70885c367cf7f006f6794b5c5f9909592a8cfe720af4b0695b521ac2d,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
c07c43d573fff7f874d3004ea72e10d38adebe5d6e9954730293b7ee71a8bd1c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
51c430833c8b0675c16b4cd63a373d7c54d0fb887ac3c4f1a33ed1e9e4ff5f15,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
93c14ed8b61fd4ef25661b1035b33af01a3200b40b03479fbd2a811304acc6eb,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
09475b031c091816a86d6c89737d4741541a53cb9b7572045b09ff6a7e51cfc2,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
88ac0023579f4757a071cfbbe98e61db282e78d70ad246afdf05a89eab2d8291,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Gloucestershire Constabulary,No location
3c35ef44b8bb5734776d030d2097254b104dcf565021ef465d514bde782c34ee,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
6d5a1a43aa5cfe5dbe22a03cb70d9261f9d0406c13457cba923d701b1d9455a7,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
25b1bb7dda50d41db2a26c676c363a7824786ef70fa6e8317f2b1a8b8ab3d6c8,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
edf320165026595bc617f751dfc27c8f9f77857313dddb40ee8ce66b5ed056be,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
3560c3fed3ed9bf9b8b6dfa6bfe7f726df978f894c0155d6d079ddab78866f02,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
279fa364474ba0c2ccc1e873241727366ca3666265148d030ba4ca1e38be3760,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
f0e05803750c687b5006459b767d56ce3843fc0e1b483946dc2c8a0532e8c660,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
