agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
43000.0,DEPARTMENT OF LIBRARIES,415,Fed Grt Librarians 21st Centur,"TITLE 65, SEC. 3-101 & 3-107",2012,3,$22965.76
43000.0,DEPARTMENT OF LIBRARIES,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,34.9",2012,3,$0.00
43500.0,OKLAHOMA LOTTERY COMMISSION,200,Ok Education Lottery Rev Fund,"TITLE 3A, CH 7, SEC 713",2012,3,$3253713.14
43500.0,OKLAHOMA LOTTERY COMMISSION,205,Fidelity Revolving Fund,"TITLE 3A, CH 7, SEC 719",2012,3,$159377.76
44400.0,"LP GAS RESEARCH, MARKETING, & SAFETY",205,Lp Gas Res Mrkt & Sfty Rev Fnd,"TITLE 52, CH 8, SEC 420.26",2012,3,$1110592.53
44400.0,"LP GAS RESEARCH, MARKETING, & SAFETY",215,Lp Gas Res Mrkt & Sfty Reimbur,"O.S. 52, SEC 420.29",2012,3,$205146.32
44500.0,LIQUEFIED PETROLEUM GAS BD,200,Liquified Petroleum Gas Fund,"TITLE 52, CH 8, SEC 420.11",2012,3,$647809.76
44600.0,MARGINALLY PROD. OIL & GAS WELLS,200,Revolving Fund,"TITLE 52, SEC 705",2012,3,$696855.76
44800.0,BD OF LIC ALCOHOL & DRUG COUNS,200,Revolving Fund,"TITLE 59, CH 43B, SEC 1883",2012,3,$77166.39
45000.0,BD. OF MED. LICENSURE & SUPV.,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$3218521.52
45000.0,BD. OF MED. LICENSURE & SUPV.,210,Allied Prof. Peer Assist. Fund,,2012,3,$213987.64
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,200,Dept Of Mental Health Rev Fund,"TITLE 43A, SEC. 2-303",2012,3,$1176086.70
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,202,Health Insur Portability,"HB 2487, SECTION 8 & 15",2012,3,$0.00
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,220,Drug Abuse Ed & Treatment Fund,"TITLE 63, SECTION 2-503.2",2012,3,$402538.16
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,230,Capital Outlay Fund,"TITLE 43A, SEC. 2-107",2012,3,$96380.86
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,240,Group Housing Loan Rev. Fund,"TITLE 62, SEC 34.9",2012,3,$32224.63
