object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2136,711608,2020/11/19 05:00:00+00,SHIRAZ MEDITERRANEAN GRILL,3501 POPLAR LEVEL RD,40213.0,2020/11/19 05:00:00+00,7,FIELD
2137,704489,2020/08/23 03:59:59+00,ROYALS HOT CHICKEN,10305 TAYLORSVILLE RD,40299.0,2020/08/28 03:59:59+00,7,FIELD
2138,702645,2020/07/30 03:59:59+00,FRANKFORT AVENUE BEER DEPOT,3204 FRANKFORT AVE,40206.0,2020/08/01 03:59:59+00,7,FIELD
2139,709064,2020/11/12 05:00:00+00,BOOMER'S CANTEEN,722 W MAIN ST,40202.0,2020/11/12 05:00:00+00,7,FIELD
2140,703632,2020/08/12 03:59:59+00,DAIRY MART #739,3400 TAYLOR BLVD,40215.0,2020/08/13 03:59:59+00,7,FIELD
2141,704584,2020/08/31 03:59:59+00,MEIJER #164,4100 TOWNE CENTER DR,40241.0,2020/09/01 03:59:59+00,7,FIELD
2142,703160,2020/08/01 03:59:59+00,FLANAGAN'S ALE HOUSE,934 BAXTER AVE,40204.0,2020/08/01 03:59:59+00,7,FIELD
2143,709342,2020/11/18 05:00:00+00,S & S TIRE,450 KENWOOD BUSINESS DR,40214.0,2020/11/24 05:00:00+00,7,FIELD
2144,703649,2020/08/13 03:59:59+00,PUROFIRST DISASTER SERVICES,2251 STANLEY GAULT PKWY,40223.0,2020/08/28 03:59:59+00,7,FIELD
2145,704586,2020/08/31 03:59:59+00,ST. MATTHEWS MINI MART,316 WALLACE AVE,40207.0,2020/09/09 03:59:59+00,7,FIELD
2146,704841,2020/09/04 03:59:59+00,STEAK N SHAKE #702,4545 OUTER LOOP,40219.0,2020/09/15 03:59:59+00,7,FIELD
2147,705014,2020/09/05 03:59:59+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/09/10 03:59:59+00,7,FIELD
2148,705167,2020/09/11 03:59:59+00,SPEEDWAY #9606,10009 BROWNSBORO RD,40241.0,2020/09/14 03:59:59+00,7,FIELD
2149,705642,2020/09/21 03:59:59+00,TWIG AND LEAF,2122 BARDSTOWN RD,40205.0,2020/10/01 03:59:59+00,7,FIELD
